APMC,Commodity,combination_label,date,modal_price,quarter,deseasonalise_price
Rahata,carrot,Rahata:carrot,2016-07-01,1500.0,3,1517.8333333333333
Rahata,carrot,Rahata:carrot,2016-08-01,2400.0,3,2417.8333333333335
Rahata,carrot,Rahata:carrot,2016-09-01,2125.0,3,2142.8333333333335
Rahata,carrot,Rahata:carrot,2016-10-01,2000.0,4,2090.625
Rahata,carrot,Rahata:carrot,2016-11-01,1325.0,4,1415.625
Rahata,ghevda,Rahata:ghevda,2014-09-01,3188.0,3,3601.813806926276
Rahata,ghevda,Rahata:ghevda,2014-10-01,2500.0,4,2521.8032435510304
Rahata,ghevda,Rahata:ghevda,2014-11-01,2500.0,4,2521.8032435510304
Rahata,ghevda,Rahata:ghevda,2014-12-01,2875.0,4,2900.073730083685
Rahata,ghevda,Rahata:ghevda,2015-01-01,3389.0,1,3396.9133621536052
Rahata,ghevda,Rahata:ghevda,2015-02-01,2800.0,1,2806.538038958423
Rahata,ghevda,Rahata:ghevda,2015-03-01,2800.0,1,2806.538038958423
Rahata,ghevda,Rahata:ghevda,2015-04-01,3938.0,2,3619.3648428619026
Rahata,ghevda,Rahata:ghevda,2015-05-01,3786.0,2,3479.663609719442
Rahata,ghevda,Rahata:ghevda,2015-06-01,5280.0,2,4852.779677580204
Rahata,ghevda,Rahata:ghevda,2015-07-01,3111.0,3,3514.818931413941
Rahata,ghevda,Rahata:ghevda,2015-08-01,2700.0,3,3050.469660822128
Rahata,ghevda,Rahata:ghevda,2015-09-01,3738.0,3,4223.205774871524
Rahata,ghevda,Rahata:ghevda,2015-10-01,3000.0,4,3026.1638922612365
Rahata,ghevda,Rahata:ghevda,2015-11-01,3225.0,4,3253.126184180829
Rahata,ghevda,Rahata:ghevda,2015-12-01,3423.0,4,3452.853001070071
Rahata,ghevda,Rahata:ghevda,2016-01-01,3455.0,1,3463.067473071911
Rahata,ghevda,Rahata:ghevda,2016-02-01,3125.0,1,3132.296918480383
Rahata,ghevda,Rahata:ghevda,2016-03-01,3417.0,1,3424.9787425431896
Rahata,ghevda,Rahata:ghevda,2016-04-01,5280.0,2,4852.779677580204
Rahata,ghevda,Rahata:ghevda,2016-05-01,5280.0,2,4852.779677580204
Rahata,ghevda,Rahata:ghevda,2016-06-01,5280.0,2,4852.779677580204
Rahata,ghevda,Rahata:ghevda,2016-07-01,5280.0,3,5965.362892274384
Rahata,ghevda,Rahata:ghevda,2016-08-01,2409.0,3,2721.6968196001876
Rahata,ghevda,Rahata:ghevda,2016-09-01,1788.0,3,2020.0887976110982
Rahata,ghevda,Rahata:ghevda,2016-10-01,1500.0,4,1513.0819461306182
Rahata,ghevda,Rahata:ghevda,2016-11-01,1883.0,4,1899.422203042636
Rahata,cucumber,Rahata:cucumber,2014-09-01,938.0,3,1049.7202784018352
Rahata,cucumber,Rahata:cucumber,2014-10-01,614.0,4,571.1627586884978
Rahata,cucumber,Rahata:cucumber,2014-11-01,1956.0,4,1819.5347817503284
Rahata,cucumber,Rahata:cucumber,2014-12-01,2240.0,4,2083.720813456409
Rahata,cucumber,Rahata:cucumber,2015-01-01,1700.0,1,1770.2178662156496
Rahata,cucumber,Rahata:cucumber,2015-02-01,1750.0,1,1822.2830975749334
Rahata,cucumber,Rahata:cucumber,2015-03-01,970.0,1,1010.065488370106
Rahata,cucumber,Rahata:cucumber,2015-04-01,611.0,2,590.4188506857449
Rahata,cucumber,Rahata:cucumber,2015-05-01,700.0,2,676.4209418658289
Rahata,cucumber,Rahata:cucumber,2015-06-01,967.0,2,934.4272154060808
Rahata,cucumber,Rahata:cucumber,2015-07-01,975.0,3,1091.1271550552124
Rahata,cucumber,Rahata:cucumber,2015-08-01,882.0,3,987.0504110345614
Rahata,cucumber,Rahata:cucumber,2015-09-01,1080.0,3,1208.6331563688507
Rahata,cucumber,Rahata:cucumber,2015-10-01,1067.0,4,992.5580839098161
Rahata,cucumber,Rahata:cucumber,2015-11-01,1283.0,4,1193.4883052073983
Rahata,cucumber,Rahata:cucumber,2015-12-01,1233.0,4,1146.9766799070321
